Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_suite,Chrome 122.0.0.0,,,23-03-2024 21:45:46,23-03-2024 21:46:31,45.500s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:45:46,23-03-2024 21:45:53,6.778s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:45:46,23-03-2024 21:45:48,2.143s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:45:48,23-03-2024 21:45:52,3.381s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:45:52,23-03-2024 21:45:52,0.661s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:45:52,23-03-2024 21:45:53,0.371s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:45:53,23-03-2024 21:45:59,6.838s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:45:53,23-03-2024 21:45:55,2.849s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:45:55,23-03-2024 21:45:58,2.958s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:45:58,23-03-2024 21:45:59,0.630s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:45:59,23-03-2024 21:45:59,0.363s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:45:59,23-03-2024 21:46:07,7.269s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:45:59,23-03-2024 21:46:03,3.950s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:46:03,23-03-2024 21:46:06,2.295s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:46:06,23-03-2024 21:46:06,0.630s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:46:06,23-03-2024 21:46:07,0.330s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:46:07,23-03-2024 21:46:13,5.947s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:46:07,23-03-2024 21:46:09,2.103s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:46:09,23-03-2024 21:46:12,2.843s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:46:12,23-03-2024 21:46:12,0.637s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:46:12,23-03-2024 21:46:13,0.344s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:46:13,23-03-2024 21:46:18,5.797s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:46:13,23-03-2024 21:46:16,2.916s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:46:16,23-03-2024 21:46:18,1.894s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:46:18,23-03-2024 21:46:18,0.628s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:46:18,23-03-2024 21:46:18,0.340s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:46:19,23-03-2024 21:46:25,6.201s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:46:19,23-03-2024 21:46:21,2.702s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:46:21,23-03-2024 21:46:24,2.511s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:46:24,23-03-2024 21:46:24,0.626s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:46:24,23-03-2024 21:46:25,0.341s,PASSED
,,,,,,,
Test Cases/login,Chrome 122.0.0.0,,,23-03-2024 21:46:25,23-03-2024 21:46:31,6.340s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 122.0.0.0,,,23-03-2024 21:46:25,23-03-2024 21:46:28,2.879s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 122.0.0.0,,,23-03-2024 21:46:28,23-03-2024 21:46:30,2.415s,PASSED
"setText(findTestObject(""Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 122.0.0.0,,,23-03-2024 21:46:30,23-03-2024 21:46:31,0.647s,PASSED
"click(findTestObject(""Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 122.0.0.0,,,23-03-2024 21:46:31,23-03-2024 21:46:31,0.381s,PASSED
